# D_a D_b
8.386883507274894844e-01 9.150057982976744775e-01
8.402013014972073979e-01 9.160798958103403278e-01
8.417054264385499529e-01 9.171441969947945472e-01
8.432007174413700401e-01 9.181987367912567422e-01
8.446871670718719693e-01 9.192435507481864221e-01
8.461647685707329725e-01 9.202786750132164739e-01
8.476335158511355550e-01 9.213041463240347895e-01
8.490934034967076993e-01 9.223200019992132681e-01
8.505444267593744723e-01 9.233262799289934097e-01
8.519865815571200374e-01 9.243230185660229470e-01
8.534198644716612936e-01 9.253102569160513990e-01
8.548442727460303647e-01 9.262880345285841033e-01
8.562598042820743771e-01 9.272563914874994984e-01
8.576664576378643101e-01 9.282153684016293260e-01
8.590642320250211350e-01 9.291650063953053040e-01
8.604531273059534691e-01 9.301053470988758232e-01
8.618331439910129621e-01 9.310364326391928902e-01
8.632042832355640849e-01 9.319583056300729806e-01
